Country,Preservation Requests,Preservation Accounts Preserved,Total Requests,Number of Requests Where Some Data Produced,Total Requests Accounts,Total Requests Percentage,Legal Process Request Total,Legal Number of Requests Where Some Data Produced,Legal Process Request Total Accounts,Legal Process Request Total Percentage,Emergency Request Total,ER Number of Requests Where Some Data Produced,Emergency Request Total Accounts,Emergency Request Total Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,MLAT Search Warrant,MLAT Search Warrant Accounts,MLAT Search Warrant Percentage,MLAT Order,MLAT Order Accounts,MLAT Order Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage,FISA Content Requests,FISA Content Requests Accounts,FISA Content Requests Percentage,FISA Non-Content Requests,FISA Non-Content Requests Accounts,FISA Non-Content Requests Percentage,NSLs,NSLs Accounts,NSLs Percentage
Cameroon,0,0,1,0,1,0%,1,0,1,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,"2,073","2,919","3,112","2,581","4,277",83%,"1,098",882,"1,495",80%,"2,014","1,699","2,782",84%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,10,13,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,674,"1,427",431,199,"1,055",46%,346,145,899,42%,85,54,156,64%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Island,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos (Keeling) Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,"1,344","2,438","2,569","2,059","9,112",80%,518,285,"1,240",55%,"2,051","1,774","7,872",86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,46,60,31,19,44,61%,3,0,5,0%,28,19,39,68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,0,0,145,109,200,75%,143,107,198,75%,2,2,2,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,7,11,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,18,31,7,3,9,43%,4,0,4,0%,3,3,5,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,36,55,582,462,799,79%,560,442,755,79%,22,20,44,91%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,23,27,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,541,660,167,136,263,81%,161,131,254,81%,6,5,9,83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,0,0,2,0,1,0%,0,0,0,0%,2,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,97,157,78,29,120,37%,66,24,107,36%,12,5,13,42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,221,330,"1,213",896,"3,010",74%,263,49,477,19%,950,847,"2,533",89%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,8,8,12,3,14,25%,4,0,4,0%,8,3,10,38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,37,52,22,4,40,18%,15,3,26,20%,7,1,14,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,7,7,37,27,53,73%,34,24,48,71%,3,3,5,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federated States of Micronesia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,2,2,2,0,3,0%,1,0,2,0%,1,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,99,235,288,233,502,81%,256,205,436,80%,32,28,66,88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,195,248,"15,417","12,673","17,522",82%,"7,422","4,960","9,462",67%,"7,995","7,713","8,060",96%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Guiana,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Southern Territories,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,83,133,32,28,53,88%,32,28,53,88%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,563,829,"21,739","15,805","32,181",73%,"20,940","15,203","30,809",73%,799,602,"1,372",75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,15,17,11,3,16,27%,3,0,3,0%,8,3,13,38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,247,359,807,528,"1,120",65%,728,465,"1,013",64%,79,63,107,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,1,1,1,1,1,100%,0,0,0,0%,1,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,649,"1,126",790,411,"1,257",52%,456,129,756,28%,334,282,501,84%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guernsey,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,13,13,12,2,16,17%,4,0,6,0%,8,2,10,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,0,0,1,0,1,0%,1,0,1,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heard Island and McDonald Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,38,57,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,0,0,29,1,36,3%,28,0,35,0%,1,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,32,37,"1,083",714,"1,267",66%,"1,076",711,"1,256",66%,7,3,11,43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,8,9,2,1,2,50%,1,0,1,0%,1,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,"12,267","18,483","91,907","66,192","153,884",72%,"81,896","58,786","129,853",72%,"10,011","7,406","24,031",74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,9,12,176,137,449,78%,173,135,442,78%,3,2,7,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,0,0,1,0,0,0%,0,0,0,0%,1,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,10,10,7,0,7,0%,3,0,3,0%,4,0,4,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,610,842,454,328,561,72%,448,324,552,72%,6,4,9,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle Of Man,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,801,"3,339","1,067",846,"3,240",79%,370,325,678,88%,697,521,"2,562",75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,"1,515","2,242","2,367","1,485","4,205",63%,"2,254","1,405","3,985",62%,113,80,220,71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivory Coast,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,4,4,8,5,8,62%,0,0,0,0%,8,5,8,62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,41,55,468,353,674,75%,18,0,19,0%,450,353,655,78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jersey,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,10,10,800,214,"1,052",27%,704,189,932,27%,96,25,120,26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,4,6,2,0,4,0%,1,0,2,0%,1,0,2,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,35,77,8,1,23,12%,7,0,21,0%,1,1,2,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,3,12,31,19,36,61%,25,15,28,60%,6,4,8,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,2,2,7,2,16,29%,3,0,3,0%,4,2,13,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,0,0,3,2,3,67%,1,0,1,0%,2,2,2,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laos,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,2,3,46,37,103,80%,43,35,100,81%,3,2,3,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,2,3,2,0,2,0%,1,0,1,0%,1,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,0,0,2,0,2,0%,2,0,2,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,23,27,34,11,78,32%,12,0,28,0%,22,11,50,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,0,0,6,5,6,83%,6,5,6,83%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,59,73,250,211,333,84%,249,210,332,84%,1,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,63,77,35,24,37,69%,34,23,36,68%,1,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macau,0,0,5,4,8,80%,3,2,6,67%,2,2,2,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,3,3,60,23,79,38%,55,21,75,38%,5,2,4,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,1,1,4,0,3,0%,1,0,1,0%,3,0,2,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,0,0,2,0,4,0%,2,0,4,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,8,10,111,67,440,60%,99,58,427,59%,12,9,13,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,21,46,18,15,19,83%,16,15,17,94%,2,0,2,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,3,3,407,347,578,85%,399,342,568,86%,8,5,10,62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,0,0,3,0,5,0%,1,0,2,0%,2,0,3,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayotte,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,"2,361","4,419","4,717","2,653","8,676",56%,"3,356","1,681","5,867",50%,"1,361",972,"2,809",71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,2,5,18,4,44,22%,18,4,44,22%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,0,0,1,1,2,100%,1,1,2,100%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,0,0,1,0,1,0%,1,0,1,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,20,25,53,24,62,45%,49,24,57,49%,4,0,5,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montserrat,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,0,0,471,177,516,38%,469,176,513,38%,2,1,3,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nauru,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,10,10,"1,033",728,"1,347",70%,928,653,"1,223",70%,105,75,124,71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,26,48,540,448,862,83%,449,376,751,84%,91,72,111,79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands Antilles,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,402,752,223,188,401,84%,133,113,260,85%,90,75,141,83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,0,0,2,0,2,0%,0,0,0,0%,2,0,2,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,4,7,29,9,184,31%,29,9,184,31%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niue,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Korea,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,23,31,66,35,79,53%,45,20,55,44%,21,15,24,71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,462,586,"1,614","1,218","1,942",75%,"1,556","1,184","1,854",76%,58,34,88,59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palestine,3,3,11,0,10,0%,9,0,9,0%,2,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,143,217,42,14,76,33%,35,11,62,31%,7,3,14,43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,40,60,55,25,71,45%,29,6,38,21%,26,19,33,73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,"1,451","2,002",341,149,514,44%,245,97,359,40%,96,52,155,54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,217,378,48,25,75,52%,22,10,38,45%,26,15,37,58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitcairn,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,836,938,"9,135","6,112","11,336",67%,"8,955","5,989","11,106",67%,180,123,230,68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,148,193,"1,022",525,"1,184",51%,"1,018",522,"1,176",51%,4,3,8,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
